"@title","Deutsch"
"#01394","A Tip from Fluff E. Sheep<br>A network connection<br>is required during play.<br>Play somewhere with a good connection!"
"#01395","A Tip from Fluff E. Sheep<br>Changing your crew's<br>equipment can make<br>them stronger!"
"#01396","A Tip from Fluff E. Sheep<br>Try swapping out your<br>combat members once<br>in a while."
"#01397","A Tip from Fluff E. Sheep<br>When you get a relic,<br>try upgrading it."
"#01398","A Tip from Fluff E. Sheep<br>Pay the king a visit once<br>in a while. He gets lonely."
"#01399","A Tip from Fluff E. Sheep<br>The king has a reward<br>that can make your base<br>bigger."
"#01400","A Tip from Fluff E. Sheep<br>If a crewmate doesn't<br>have enough knowledge<br>to change jobs, earn<br>more by having them use<br>your ship's facilities."
"#01401","A Tip from Fluff E. Sheep<br>If you get beaten, try<br>leveling up or earning<br>money with other quests<br>before trying again."
"#01402","A Tip from Fluff E. Sheep<br>You recover 1 stamina<br>point every 5 minutes,<br>even when you're not<br>playing!"
"#01403","A Tip from Fluff E. Sheep<br>You may sometimes get<br>attacked by rare strong<br>monsters! Don't panic,<br>and build up your strength<br>before facing them!"
"#01404","A Tip from Fluff E. Sheep<br>When your population<br>reaches 3500, you can<br>try going to other<br>countries."
"#01405","A Tip from Fluff E. Sheep<br>When your fleet rank<br>reaches 20, you can<br>battle your friends<br>and other players!"
"#01406","A Tip from Fluff E. Sheep<br>When a lot of treasure is<br>on deck, select ""All Crew""<br>from the ""Orders"" menu<br>to have the whole crew<br>collect it! It's most<br>effective when you have<br>a large crew aboard!"
"#01407","A Tip from Fluff E. Sheep<br>Your crewmates' special<br>abilities will depend on<br>what their job was when<br>you recruited them."
"#01408","A Tip from Fluff E. Sheep<br>My measurements are<br>123.123.123. But don't<br>tell anybody!"
"#01409","Dream House Days"
"#01410","net.kairosoft.android.apart_ja"
"#01411","net.kairosoft.android.apart_en"
"#01412","net.kairosoft.android.okashi_ja"
"#01413","Beastie Bay"
"#01414","net.kairosoft.android.mujin"
"#01415","net.kairosoft.android.mujin_en"
"#01416","Pocket League Story 2"
"#01417","net.kairosoft.android.soccer2_ja"
"#01418","net.kairosoft.android.soccer2_en"
"#01419","Game Dev Story"
"#01420","net.kairosoft.android.gamedev3"
"#01421","net.kairosoft.android.gamedev3en"
"#01422","Dungeon Village"
"#01423","net.kairosoft.android.bouken_ja"
"#01424","net.kairosoft.android.bouken_en"
"#01425","Hot Springs Story"
"#01426","net.kairosoft.android.onsen_ja"
"#01427","net.kairosoft.android.onsen_en"
"#01428","Pocket League Story"
"#01429","net.kairosoft.android.soccer_ja"
"#01430","net.kairosoft.android.soccer_en"
"#01431","Venture Towns"
"#01432","net.kairosoft.android.zaibatu3"
"#01433","Pocket Stables"
"#01434","net.kairosoft.android.horse_ja"
"#01435","net.kairosoft.android.horse_en"
"#01436","Grand Prix Story"
"#01437","net.kairosoft.android.paddock_ja"
"#01438","net.kairosoft.android.paddock_en"
"#01439","The Sushi Spinnery"
"#01440","net.kairosoft.android.sushi_ja"
"#01441","net.kairosoft.android.sushi_en"
"#01442","Ninja Village"
"#01443","net.kairosoft.android.ninja_ja"
"#01444","net.kairosoft.android.ninja_en"
"#01445","Pocket Academy"
"#01446","net.kairosoft.android.school2_ja"
"#01447","net.kairosoft.android.school2_en"
"#01448","Cafeteria Nipponica"
"#01449","net.kairosoft.android.restaurant_ja"
"#01450","net.kairosoft.android.restaurant_en"
"#01451","Pocket Clothier"
"#01452","net.kairosoft.android.fukuya_ja"
"#01453","net.kairosoft.android.fukuya_en"
"#01454","World Cruise Story"
"#01455","net.kairosoft.android.cruise_ja"
"#01456","net.kairosoft.android.cruise_en"
"#01457","Oh!Edo Towns"
"#01458","net.kairosoft.android.edotowns"
"#01459","Pocket Harvest"
"#01460","net.kairosoft.android.noujou_ja"
"#01461","net.kairosoft.android.noujou_en"
"#01462","Mega Mall Story"
"#01463","net.kairosoft.android.depart_ja"
"#01464","net.kairosoft.android.depart_en"
"#01465","Kairobotica"
"#01466","net.kairosoft.android.starkairo_ja"
"#01467","net.kairosoft.android.starkairo_en"
"#01468","Epic Astro Story"
"#01469","net.kairosoft.android.frontier_ja"
"#01470","net.kairosoft.android.frontier_en"
"#01471","The Pyraplex"
"#01472","net.kairosoft.android.pyramid_ja"
"#01473","net.kairosoft.android.pyramid_en"
"#01474","net.kairosoft.android.ccbokujou"
"#01475","net.kairosoft.android.school1_ja"
"#01476","net.kairosoft.android.magazine_ja"
"#01477","net.kairosoft.android.snsdev_ja"
"#01478","Schatztruhe"
"#01479","Holztruhe"
"#01480","Robustes Fass"
"#01481","Weicher Stoff"
"#01482","Geheimnisvolle Medizin"
"#01483","Rostige Waffe"
"#01484","Essbares Fleisch"
"#01485","Buschiges Gras"
"#01486","Burlap Sack"
"#01487","Schwerer Fels"
"#01488","Kotelett"
"#01489","Seebär"
"#01490","Läuft und arbeitet schnell."
"#01491","Matrose"
"#01492","Schiffsgeschwindigkeit +2 (max. 10)."
"#01493","Pirat"
"#01494","Auf Inseln gefundene Vorräte +10."
"#01495","Koch"
"#01496","Stamina recovery -10 sec (max -60)."
"#01497","Bauer"
"#01498","Doppelte Erträge von Ackerflächen usw."
"#01499","Händler"
"#01500","Eröffnet einen Itemshop an Bord."
"#01501","Schmied"
"#01502","Open a weapon shop on board."
"#01503","Fischer"
"#01504","Get more research items from battle."
"#01505","Tischler"
"#01506","Reduce island facility building time."
"#01507","Schurke"
"#01508","Axt ausgerüstet = leichter auslösbare Aura."
"#01509","Kadett"
"#01510","Erhalte doppelte Quest-EPs."
"#01511","Faustkämpfer"
"#01512","Hälfte der Geschwindigkeit wird zum Angriff addiert."
"#01513","Bogenschütze"
"#01514","Schwere Bögen fliegen bis zur letzten Reihe."
"#01515","Priester"
"#01516","Die Hälfte der Intelligenz fließt in den Angriff ein."
"#01517","Clown"
"#01518","Stuns when damaged (uses SP)."
"#01519","Nomad"
"#01520","Quest stamina -1 (max 2)."
"#01521","Genius"
"#01522","Open armor shop on board."
"#01523","Gunman"
"#01524","Can quickly shoot heavy guns."
"#01525","Lancier"
"#01526","Speerangriffe entfernen gegnerische Auren."
"#01527","Magier"
"#01528","Can attack from rear with a wand."
"#01529","=#00243"
"#01530","Gives aura value to front line."
"#01531","Doctor"
"#01532","Cost to hire crew -5% (max 30%)."
"#01533","Buchhalter"
"#01534","Würfelspiel kostet -1 Medaille (max. 2)."
"#01535","Schütze"
"#01536","Benutze Kanonen in Schiffskämpfen (max. 3)."
"#01537","Dieb"
"#01538","Wenn er lebendig zurückkehrt, Gold x4."
"#01539","Steuermann"
"#01540","Ausdauer fürs Segeln -1 (max. 2)."
"#01541","Seher"
"#01542","Get +2 items when doing research."
"#01543","Tänzer"
"#01544","Absorbiert 5 TP beim Angriff."
"#01545","Wikinger"
"#01546","Recovers 5% of damage done."
"#01547","Wizard"
"#01548","Can bring monsters on quests."
"#01549","Major"
"#01550","Cause x1.25 damage to monsters."
"#01551","Fencer"
"#01552","Heavy blade attacks go thru to rear."
"#01553","Outlaw"
"#01554","Heavy hammer attacks go thru to rear."
"#01555","Noble"
"#01556","Get gold when attacking, by level."
"#01557","Golem"
"#01558","Heavy axe attacks go thru to rear."
"#01559","Ninja"
"#01560","Can chain light blade attacks."
"#01561","Hero"
"#01562","Can slash with heavy blades."
"#01563","Ruler"
"#01564","Doubles unit's aura duration."
"#01565","Dealer"
"#01566","Open accessory shop on board."
"#01567","Tycoon"
"#01568","Facility use gives gold, by level."
"#01569","Rebel"
"#01570","Can slash with non-heavy blades."
"#01571","Killer"
"#01572","No armor = always has an aura."
"#01573","Furry"
"#01574","Can attack quickly with hammers."
"#01575","Monkey"
"#01576","With aura, attack x.5, defense x4."
"#01577","Robot"
"#01578","With aura, attack x1.5, defense x.25."
"#01579","Dueler"
"#01580","Counterattack on guard (uses SP)."
"#01581","Sumo"
"#01582","Cancel enemy support skills (uses SP)."
"#01583","Prof."
"#01584","Hvy wpn = Reduce SP by 10% (uses SP)."
"#01585","Fiend"
"#01586","Axes do x2 damage to monsters (uses SP)."
"#01587","Euripitan Union"
"#01588","The first country, with many islands."
"#01589","Armonica"
"#01590","A frigid region.<br>Requires <0> population."
"#01591","Meripito"
"#01592","A kingdom with a warm climate.<br>Requires <0> population."
"#01593","Treelania"
"#01594","A heavily wooded continent.<br>Requires <0> population."
"#01595","Kairo Islands"
"#01596","Robots are sometimes seen here.<br>Requires <0> population."
"#01597","Umadbro Islands"
"#01598","Islands with steep mountains.<br>Requires <0> population."
"#01599","Pirate Seas"
"#01600","A region infested by pirates.<br>Requires <0> population."
"#01601","Unexplored Area"
"#01602","Recover Stamina"
"#01603","Fully recover stamina for 2 medals!"
"#01604","Create Replay Data"
"#01605","Create replay data for a new game.<br>* Medals are not carried over."
"#01606","Quest Team +1"
"#01607","Add one more quest team."
"#01608","Turbo Mode +10 min."
"#01609","Speed up ship/characters for 10 minutes.<br>May not work with all devices."
"#01610","Job Change Set"
"#01611","Book Set 1"
"#01612","=MID(#01611,1,-1)&'2'"
"#01613","Smith Ticket Set 1"
"#01614","=MID(#01613,1,-1)&'2'"
"#01615","Incubator Set"
"#01616","Egg Dye Set"
"#01617","Rare Egg Dye Set"
"#01618","Egg Bleach Set"
"#01619","Rare Egg Bleach Set"
"#01620","Skill Tonic Set"
"#01621","Rare Item Set 1"
"#01622","=MID(#01621,1,-1)&'2'"
"#01623","Food Series 1"
"#01624","=MID(#01623,1,-1)&'2'"
"#01625","Affordable Set"
"#01626","Legend Series"
"#01627","Kairobot Set"
"#01628","Bearington Set"
"#01629","Monkey Set"
"#01630","Daisy's Bow Set"
"#01631","Prin's Spear Set"
"#01632","Wairo Shield Set"
"#01633","Max Inventory Up"
"#01634","Increase the maximum<br>of each item by 10."
"#01635","Ability Sphere Set G"
"#01636","Ability Sphere Set F"
"#01637","Ability Sphere Set E"
"#01638","Ability Sphere Set D"
"#01639","Ability Sphere Set C"
"#01640","Ability Sphere Set B"
"#01641","Ability Sphere Set A"
"#01642","Ability Sphere Set S"
"#01643","Monster Flute Set"
"#01644","Rename Set"
"#01645","Combat Assignment"
"#01646","Adds a command to freely arrange<br>characters in quests or online battles."
"#01647","Cheer Speed Up"
"#01648","Increases CP recovery by 20%<br>during online battle cheers."
"#01649","Quest Cheers On"
"#01650","Makes it possible to use cheers in quests."
"#01651","Add Onboard Monsters"
"#01652","Increases max number of monsters<br>on your ship by 2 (1 combat)."
"#01653","=#01641"
"#01654","Speed-up of research"
"#01655","Research time will be speed up."
"#01656","=#01501"
"#01657","Jones"
"#01658","Drake"
"#01659","Kane"
"#01660","Levine"
"#01661","Kent"
"#01662","Buckley"
"#01663","=#01503"
"#01664","Ramsey"
"#01665","Ross"
"#01666","Reeves"
"#01667","Elliot"
"#01668","Montoya"
"#01669","Lewis"
"#01670","Flores"
"#01671","Dale"
"#01672","Silver"
"#01673","Patton"
"#01674","Porter"
"#01675","Mooney"
"#01676","Shields"
"#01677","Maxwell"
"#01678","Clark"
"#01679","Sparks"
"#01680","Westin"
"#01681","Farrell"
"#01682","Perry"
"#01683","Shaw"
"#01684","Kidd"
"#01685","=#01555"
"#01686","Barton"
"#01687","Sanders"
"#01688","Weber"
"#01689","Miller"
"#01690","Weaver"
"#01691","Gillespie"
"#01692","Stark"
"#01693","Bennet"
"#01694","Steele"
"#01695","Bell"
"#01696","Garcia"
"#01697","Austin"
"#01698","Bentley"
"#01699","Aaron"
"#01700","Andrew"
"#01701","Bryan"
"#01702","Charles"
"#01703","Colin"
"#01704","Danny"
"#01705","Everett"
"#01706","Frank"
"#01707","Hector"
"#01708","Ian"
"#01709","James"
"#01710","Jacob"
"#01711","Kevin"
"#01712","Matt"
"#01713","Mike"
"#01714","Nate"
"#01715","Neil"
"#01716","Josh"
"#01717","Peter"
"#01718","Paul"
"#01719","Richard"
"#01720","Rocky"
"#01721","Ally"
"#01722","Beatriz"
"#01723","Belinda"
"#01724","Brenna"
"#01725","Caitlin"
"#01726","Cheryl"
"#01727","Cynthia"
"#01728","Dalia"
"#01729","Dora"
"#01730","Erica"
"#01731","Erin"
"#01732","Grace"
"#01733","Irene"
"#01734","Jen"
"#01735","Jill"
"#01736","Kara"
"#01737","Kelly"
"#01738","Laurel"
"#01739","Lianna"
"#01740","Lizzy"
"#01741","Lola"
"#01742","=#01717"
"#01743","=#01718"
"#01744","=#01719"
"#01745","=#01720"
"#01746","Stephen"
"#01747","Troy"
"#01748","Hans"
"#01749","Liam"
"#01750","Tim"
"#01751","Jeff"
"#01752","Dave"
"#01753","Ethan"
"#01754","Alma"
"#01755","Maria"
"#01756","Shana"
"#01757","Sheri"
"#01758","Tracy"
"#01759","Wendy"
"#01760","Hannah"
"#01761","Pat"
"#01762","Chris"
"#01763","Alex"
"#01764","Casey"
"#01765","Jamie"
"#01766","Alfie"
"#01767","Robin"
"#01768","Ray"
"#01769","Rupert"
"#01770","Stewart"
"#01771","Bob"
"#01772","Arvin"
"#01773","Luke"
"#01774","George"
"#01775","Billy"
"#01776","Daisy"
"#01777","Rachel"
"#01778","Holly"
"#01779","Julie"
"#01780","Kristen"
"#01781","Elaine"
"#01782","Mia"
"#01783","Sharon"
"#01784","May"
"#01785","Maisy"
"#01786","Gina"
"#01787","Zelda"
"#01788","Rare Knowledge Item"
"#01789","Knowledge Item"
"#01790","Egg Goods"
"#01791","Yummy Food"
"#01792","=#01154"
"#01793","Very Rare Food"
"#01794","Smith Ticket"
"#01795","=#01146"
"#01796","=#01148"
"#01797","=#01150"
"#01798","=#01152"
"#01799","=#01154"
"#01800","=#01156"
"#01801","=#01158"
"#01802","Affordable Equipment"
"#01803","1 Medal"
"#01804","Kairo Pts"
"#01805","Ei"
"#01806","=#01318"
"#01807","Bringe <0>G zurück."
"#01808","Meistere mindestens <0> Berufe."
"#01809","Besuche <0> neue Inseln."
"#01810","Erreiche <0> Bevölkerung."
"#01811","Erreiche Flottenrang <0>."
"#01812","Entdecke <0> Berufe."
"#01813","Besiege <0> Feinde."
"#01814","Besitze <0> Medaillen."
"#01815","Build <0> onboard facilities."
"#01816","Clear <0> quests."
"#01817","Recruit <0> crewmates."
"#01818","Play 2 days in a row (A)."
"#01819","Play 5 days in a row (A)."
"#01820","Play 2 days in a row (B)."
"#01821","Play 3 days in a row (A)."
"#01822","Play 4 days in a row."
"#01823","Play 5 days in a row (B)."
"#01824","Play 6 days in a row."
"#01825","Play 7 days in a row."
"#01826","Play 8 days in a row."
"#01827","Play 9 days in a row."
"#01828","Play 10 days in a row."
"#01829","Play 20 days in a row."
"#01830","Play 25 days in a row."
"#01831","Play 30 days in a row."
"#01832","Play 3 days in a row (B)."
"#01833","Play 11 days in a row."
"#01834","Play 12 days in a row."
"#01835","Play 13 days in a row."
"#01836","Play 14 days in a row."
"#01837","Play 15 days in a row."
"#01838","Play 16 days in a row."
"#01839","Play 17 days in a row."
"#01840","Play 18 days in a row."
"#01841","Play 19 days in a row."
"#01842","Play 21 days in a row."
"#01843","Play 22 days in a row."
"#01844","Play 23 days in a row."
"#01845","Play 24 days in a row."
"#01846","Play 26 days in a row."
"#01847","Play 27 days in a row."
"#01848","Play 28 days in a row."
"#01849","Play 29 days in a row."
"#01850","Play 35 days in a row."
"#01851","Play 40 days in a row."
"#01852","Play 45 days in a row."
"#01853","Play 50 days in a row."
"#01854","Play 55 days in a row."
"#01855","Play 60 days in a row."
"#01856","Win <0> online battle(s)."
"#01857","Lose <0> online battle(s)."
"#01858","Have at least <0> Kairo Pts."
"#01859","High Sea Saga Master"
"#01860","Mastered the game."
"#01861","Get <0> Guidebook entries."
"#01862","Destroy <0> enemy ships."
"#01863","Play 62 days in a row."
"#01864","Play 64 days in a row."
"#01865","Play 66 days in a row."
"#01866","Play 68 days in a row."
"#01867","Play 70 days in a row."
"#01868","Play 72 days in a row."
"#01869","Play 74 days in a row."
"#01870","Play 76 days in a row."
"#01871","Play 78 days in a row."
"#01872","Play 80 days in a row."
"#01873","Play 82 days in a row."
"#01874","Play 84 days in a row."
"#01875","Play 86 days in a row."
"#01876","Play 88 days in a row."
"#01877","Play 90 days in a row."
"#01878","Play 92 days in a row."
"#01879","Play 94 days in a row."
"#01880","Play 96 days in a row."
"#01881","Play 98 days in a row."
"#01882","Play 100 days in a row."
"#01883","Play 102 days in a row."
"#01884","Play 104 days in a row."
"#01885","Play 106 days in a row."
"#01886","Play 108 days in a row."
"#01887","Play 110 days in a row."
"#01888","Play 112 days in a row."
"#01889","Play 114 days in a row."
"#01890","Play 116 days in a row."
"#01891","Play 118 days in a row."
"#01892","Play 120 days in a row."
"#01893","Play 122 days in a row."
"#01894","Play 124 days in a row."
"#01895","Play 126 days in a row."
"#01896","Play 128 days in a row."
"#01897","Play 130 days in a row."
"#01898","Play 132 days in a row."
"#01899","Play 134 days in a row."
"#01900","Play 136 days in a row."
"#01901","Play 138 days in a row."
"#01902","Play 140 days in a row."
"#01903","Play 142 days in a row."
"#01904","Play 144 days in a row."
"#01905","Play 146 days in a row."
"#01906","Play 148 days in a row."
"#01907","Play 150 days in a row."
"#01908","Eager Girl"
"#01909","Genial Girl"
"#01910","Old Maid"
"#01911","Healthy Youth"
"#01912","Adventurous Kid"
"#01913","Pretty Girl"
"#01914","Dumpling Girl"
"#01915","Naughty Prince"
"#01916","Traveling Merchant"
"#01917","Skilled Merchant"
"#01918","Mermaid"
"#01919","Moving Armor"
"#01920","Old Handyman"
"#01921","Animal Lover"
"#01922","Prince Key"
"#01923","Evil Robot"
"#01924","Princess Ham"
"#01925","King's Letter"
"#01926","Erste Quest"
"#01927","Boss-Quest"
"#01928","Anfänger-Quest"
"#01929","Einsteiger-Quest"
"#01930","Versteckte Einführungs-Quest"
"#01931","Versteckte mittlere Quest"
"#01932","Versteckte Einsteiger-Quest"
"#01933","Starter Quest"
"#01934","Hidden Veteran Quest"
"#01935","Einführungs-Quest"
"#01936","Mittlere Quest"
"#01937","Veteranen-Quest"
"#01938","Hidden Expert Quest"
"#01939","Hidden Fierce Quest"
"#01940","Hidden Supreme Quest"
"#01941","Expert Quest"
"#01942","Fierce Quest"
"#01943","Hidden Rare Quest"
"#01944","Supreme Quest"
"#01945","Hidden Legend Quest"
"#01946","Heavy Quest"
"#01947","Rare Quest"
"#01948","Hidden Ultimate Quest"
"#01949","Buccaneer Quest"
"#01950","Kairo Quest"
"#01951","Hidden Kairo Quest"
"#01952","Mini-Map"
"#01953","Hatchling Pirates"
"#01954","Blacktail Pirates"
"#01955","Seagull Pirates"
"#01956","Penguin Pirates"
"#01957","Freitaucher-Piraten"
"#01958","Fluffy Pirates"
"#01959","Opportunity Pirates"
"#01960","Je t'aime Pirates"
"#01961","Love Pirates"
"#01962","Lullaby Pirates"
"#01963","Seasick Pirates"
"#01964","Patissier Group"
"#01965","Thrill Pirates"
"#01966","Eastern Pirates"
"#01967","Rowdy Pirates"
"#01968","Punk Pirates"
"#01969","Innocent Pirates"
"#01970","Lion Pirates"
"#01971","Friendly Pirates"
"#01972","Million Union"
"#01973","Sprout Fishermen"
"#01974","Bluffing Pirates"
"#01975","Pudding Pirates"
"#01976","Whirlpool Pirates"
"#01977","Deck"
"#01978","Treppe"
"#01979","Pfeiler"
"#01980","Floor Panel"
"#01981","Increase walking speed."
"#01982","Kajüte"
"#01983","A space for the crew to sleep."
"#01984","A cabin where islanders can shop."
"#01985","Aid Station"
"#01986","Boosts recovery for nearby crew."
"#01987","=#01984"
"#01988","Laderaum"
"#01989","Ein Ort, um wertvolle Beute zu lagern."
"#01990","Großer Laderaum"
"#01991","Speisesaal"
"#01992","Wo die Besatzung isst und sich erholt."
"#01993","Labor"
"#01994","Wandelt Gegenstände in Schätze um."
"#01995","Unused"
"#01996","Dojo"
"#01997","Learn melee fighting techniques."
"#01998","Pool"
"#01999","Train by swimming laps."
"#02000","Dance Hall"
"#02001","Train with spirited dancing."
"#02002","Küche"
"#02003","Unterstützt eine gesunde Ernährung."
"#02004","Shooting Range"
"#02005","Learn ranged fighting techniques."
"#02006","Master Dojo"
"#02007","Kapelle"
"#02008","Betet für eine sichere Reise."
"#02009","Museum"
"#02010","Stellt Nachbildungen von Schätzen aus."
"#02011","News Room"
"#02012","Get news from around the world."
"#02013","Wannenbad"
"#02014","Erholung bei einem schönen warmen Bad."
"#02015","Library"
"#02016","Learn world history."
"#02017","Map Room"
"#02018","Learn about surveying."
"#02019","Study"
"#02020","Think about ship management."
"#02021","Art Room"
"#02022","Nurture your artistic side."
"#02023","Mail Room"
"#02024","With cutting-edge technology."
"#02025","Ammo Room"
"#02026","For polishing cannonballs."
"#02027","Juice Bar"
"#02028","Serves fresh juices."
"#02029","Tackle Room"
"#02030","Has the best fishing equipment."
"#02031","Chat Room"
"#02032","Relax and talk with others."
"#02033","Lavatory"
"#02034","Boosts motivation for work."
"#02035","Training Room"
"#02036","Get combat training."
"#02037","Monsternest"
"#02038","Ein Nest. Du weißt schon, für Monster..."
"#02039","Acker"
"#02040","Gib Gold aus, erhalte Ressourcen."
"#02041","Baumschule"
"#02042","Chicken Stall"
"#02043","Pig Stall"
"#02044","Cow Stall"
"#02045","Lamp"
"#02046","Soft light boosts comfort."
"#02047","Sitzbank"
"#02048","Für die Besatzung zum Ausruhen."
"#02049","Busch"
"#02050","Grüne Pflanzen wirken beruhigend."
"#02051","Baum"
"#02052","Legendary Sword"
"#02053","A sword stuck in a boulder."
"#02054","Guardian Armor"
"#02055","Use instead of a guard dog."
"#02056","Goddess Statue"
"#02057","Kindly watches over your crew."
"#02058","Fancy Chair"
"#02059","Makes the user feel...fancy!"
"#02060","Painting"
"#02061","Painted by a famous artist."
"#02062","Water Jug"
"#02063","Have a sip of pure water."
"#02064","Compass"
"#02065","Every ship needs one."
"#02066","Aquarium"
"#02067","Enjoy watching the fish."
"#02068","Lucky Bird"
"#02069","Said to bring good luck."
"#02070","Brig"
"#02071","Houses captured prisoners."
"#02072","Red Carpet"
"#02073","Greatly increases walking speed."
"#02074","Casino"
"#02075","Enjoy playing cards."
"#02076","Dart Room"
"#02077","Play darts for a little fun."
"#02078","Blumen"
"#02079","Bringen etwas Farbe aufs Schiff."
"#02080","Chain Att."
"#02081","Very rarely do a double attack."
"#02082","Chain Att. 1"
"#02083","Sometimes do a double attack."
"#02084","=MID(#02082,1,-1)&'2'"
"#02085","Often do a double attack."
"#02086","Slash 1"
"#02087","Very rarely attack the first row."
"#02088","=MID(#02086,1,-1)&'2'"
"#02089","Sometimes attack the first row."
"#02090","=MID(#02086,1,-1)&'3'"
"#02091","Often attack the first row."
"#02092","Ult. Att. 1"
"#02093","Very rarely attack all enemies."
"#02094","=MID(#02092,1,-1)&'2'"
"#02095","Sometimes attack all enemies."
"#02096","=MID(#02092,1,-1)&'3'"
"#02097","Often attack all enemies."
"#02098","Heilung 1"
"#02099","Very rarely heal during combat."
"#02100","=MID(#02098,1,-1)&'2'"
"#02101","Sometimes heal during combat."
"#02102","=MID(#02098,1,-1)&'3'"
"#02103","Often heal during combat."
"#02104","Hast 1"
"#02105","Seltener Geschwindigkeitsschub im Kampf."
"#02106","=MID(#02104,1,-1)&'2'"
"#02107","Sometimes speed up in combat."
"#02108","=MID(#02104,1,-1)&'3'"
"#02109","Often speed up in combat."
"#02110","Territorial"
"#02111","Boosts enemy capture rate."
"#02112","LP-Steigerung 1"
"#02113","Erhöht LP um 30."
"#02114","=MID(#02112,1,-1)&'2'"
"#02115","Erhöht LP um 300."
"#02116","SP Boost 1"
"#02117","Increases SP by 20."
"#02118","=MID(#02116,1,-1)&'2'"
"#02119","Increases SP by 50."
"#02120","Att. Boost 1"
"#02121","Increases attack by 30."
"#02122","=MID(#02120,1,-1)&'2'"
"#02123","Increases attack by 200."
"#02124","Def. Boost 1"
"#02125","Increases defense by 30."
"#02126","=MID(#02124,1,-1)&'2'"
"#02127","Increases defense by 100."
"#02128","Spd. Boost 1"
"#02129","Increases speed by 20."
"#02130","=MID(#02128,1,-1)&'2'"
"#02131","Increases speed by 100."
"#02132","Int Boost 1"
"#02133","Increases intelligence by 60."
"#02134","All Boost 1"
"#02135","Increases all parameters by 50."
"#02136","=MID(#02134,1,-1)&'2'"
"#02137","Increases all parameters by 100."
"#02138","Schwertmeister"
"#02139","Erhöht die Kraft von Schwertern."
"#02140","Stabmeister"
"#02141","Erhöht die Kraft von Stäben."
"#02142","Axtmeister"
"#02143","Erhöht die Kraft von Äxten."
"#02144","=#00320"
"#02145","Boosts spear power."
"#02146","Hammermeister"
"#02147","Erhöht die Kraft von Hämmern."
"#02148","Gun Master"
"#02149","Boosts gun power."
"#02150","Bow Master"
"#02151","Boosts bow power."
"#02152","Weapon Mast."
"#02153","Boosts all weapons' power."
"#02154","Packhorse"
"#02155","Can easily use heavy weapons."
"#02156","Thrifty 1"
"#02157","Find a bit more money."
"#02158","=MID(#02156,1,-1)&'2'"
"#02159","Find more money"
"#02160","Observant"
"#02161","Find more resources."
"#02162","Economical"
"#02163","Often save on facility use costs."
"#02164","=#00363"
"#02165","Get more XP from island facilities."
"#02166","Shipmate"
"#02167","Easier to level up ship facilities."
"#02168","Sea Legs"
"#02169","Move around the ship a bit faster."
"#02170","Defender"
"#02171","Can equip shields."
"#02172","Hermes"
"#02173","Move around the ship much faster."
"#02174","Guardian"
"#02175","Boost shield guard rate by 15%."
"#02176","Hearty"
"#02177","Boost HP by 25%."
"#02178","Disciplined"
"#02179","Boost SP by 25%."
"#02180","Winged Feet"
"#02181","Boosts speed by 100%."
"#02182","Confirm"
"#02183","Quit"
"#02184","Zurück"
"#02185","Ja"
"#02186","Nein"
"#02187","Check"
"#02188","Speichern"
"#02189","Menü"
"#02190","Self"
"#02191","Top"
"#02192","Site"
"#02194","Unlock"
"#02193","Capture"
"#02194","Unlock"
"#02195","Details"
"#02196","Entfernen"
"#02197","Umbenennen"
"#02198","Rotate"
"#02199","Start"
"#02200","Switch"
"#02201","Abbr."
"#02202","Karte"
"#02203","Stats"
"#02204","Info"
"#02205","Auto"
"#02206","Settings"
"#02207","Down"
"#02208","Up"
"#02209","Turn In"
"#02210","Upgrade"
"#02211","Crew"
"#02212","Follow"
"#02213","Max"
"#02214","=#00019"
"#02215","To Ship"
"#02216","=#02070"
"#02217","Job"
"#02218","Password"
"#02219","Get!"
"#02220","Auto"
"#02221","Schließen"
"#02222","Action"
"#02223","=#01988"
"#02224","Effekte"
"#02225","Agree"
"#02226","Terms"
"#02227","Shuffle"
"#02228","History"
"#02229","=#00480"
"#02230","Default"
"#02231","Restore"
"#02232","1-Square Die"
"#02233","Move ahead 1 square."
"#02234","2-Square Die"
"#02235","Move ahead 2 squares."
"#02236","3-Square Die"
"#02237","Move ahead 3 squares."
"#02238","4-Square Die"
"#02239","Move ahead 4 squares."
"#02240","5-Square Die"
"#02241","Move ahead 5 squares."
"#02242","6-Square Die"
"#02243","Move ahead 6 squares."
"#02244","Double Dice"
"#02245","Roll 2 dice."
"#02246","Triple Dice"
"#02247","Roll 3 dice."
"#02248","Peek-a-Boo"
"#02249","View the contents of all chests."
"#02250","Greetings!"
,"I've served <team> for 43 years, and now the king has ordered me to serve you."
,"Let's work together to bring glory to the name of <team>!"
,"Now, then... I understand that the king wants to see you."
,"Select the ""<co=0066cc>Throne Room</co>"" from the upper left of the map."
"#02251","Ah! You've come! I've heard so much about you."
,"I understand you will be in command of <team>'s fleet."
,"With your help, we'll make <team> the most powerful nation in the world!"
"#02252","...Ahem. There is one more thing."
,"Recently a group of pirates has been causing trouble nearby."
,"We just discovered the location of their <co=0066cc>hideout</co>. I need you to take care of them."
"#02253","But there's no need to go it alone..."
,"Take these medals. You can use them at the Tavern to recruit new crewmates."
"#02254","So...what are you waiting for? Go <co=0066cc>hire a crew </co>and take care of those pirates!"
,"You can now select the ""Tavern"" from the <co=0066cc>""Island"" menu</co>."
